# 49971 addresses changed in all 4 diffs
# values from level20.snap; addr  int32_le  float32  hex
  0x00007ff60ccb8af4          493   6.9084e-43  ed010000
  0x00007ff60ccb8af5            1   1.4013e-45  01000000
* 0x00007ff60ccb8b50   1448856592   6.0417e+13  10cc5b56
  0x00007ff60ccb8b51   -313107508  -4.1463e+27  cc5b56ed
  0x00007ff60ccb8b52     32331355   8.7184e-38  5b56ed01
  0x00007ff60ccb8b53       126294   1.7698e-40  56ed0100
  0x00007ff60ccb8b54          493   6.9084e-43  ed010000
  0x00007ff60ccb8b55    956301313   1.2207e-04  01000039
* 0x00007ff60ccb95b8   1398558032   9.4619e+11  504d5c53
  0x00007ff60ccb95b9   -313303987  -4.0883e+27  4d5c53ed
  0x00007ff60ccb95ba     32330588   8.7180e-38  5c53ed01
  0x00007ff60ccb95bb       126291   1.7697e-40  53ed0100
  0x00007ff60ccb95bc          493   6.9084e-43  ed010000
  0x00007ff60ccb95bd     16777217   2.3510e-38  01000001
* 0x00007ff60ccb9af8   1539039584   1.0577e+17  60e1bb5b
  0x00007ff60ccb9af9   -312755231  -4.2503e+27  e1bb5bed
  0x00007ff60ccb9afa     32332731   8.7192e-38  bb5bed01
  0x00007ff60ccb9afb       126299   1.7698e-40  5bed0100
  0x00007ff60ccb9afc          493   6.9084e-43  ed010000
  0x00007ff60ccb9afd    956301313   1.2207e-04  01000039
* 0x00007ff60ccb9b08   1546618496   1.9762e+17  80862f5c
  0x00007ff60ccb9b09   -312725626  -4.2590e+27  862f5ced
  0x00007ff60ccb9b0a     32332847   8.7192e-38  2f5ced01
  0x00007ff60ccb9b0b       126300   1.7698e-40  5ced0100
  0x00007ff60ccb9b0c          493   6.9084e-43  ed010000
  0x00007ff60ccb9b0d    956301313   1.2207e-04  01000039
* 0x00007ff60ccb9bb0   1517278864   1.6877e+16  90d66f5a
  0x00007ff60ccb9bb1   -312840234  -4.2252e+27  d66f5aed
  0x00007ff60ccb9bb2     32332399   8.7190e-38  6f5aed01
  0x00007ff60ccb9bb3       126298   1.7698e-40  5aed0100
  0x00007ff60ccb9bb4          493   6.9084e-43  ed010000
  0x00007ff60ccb9bb5    805306369   4.6566e-10  01000030
* 0x00007ff60ccb9bb8   1517275184   1.6873e+16  30c86f5a
  0x00007ff60ccb9bb9   -312840248  -4.2252e+27  c86f5aed
  0x00007ff60ccb9bba     32332399   8.7190e-38  6f5aed01
  0x00007ff60ccb9bbb       126298   1.7698e-40  5aed0100
  0x00007ff60ccb9bbc          493   6.9084e-43  ed010000
  0x00007ff60ccb9bbd   -536870911  -3.6893e+19  010000e0
* 0x00007ff60ccbbd98         1088   1.5246e-42  40040000
* 0x00007ff60ccbbe81   -318154558  -2.6567e+27  c25809ed
  0x00007ff60ccbbe82     32311640   8.7073e-38  5809ed01
  0x00007ff60ccbbe83       126217   1.7687e-40  09ed0100
  0x00007ff60ccbbe84          493   6.9084e-43  ed010000
  0x00007ff60ccbbe85   1879048193   1.5846e+29  01000070
* 0x00007ff60ccbbe89   -318154557  -2.6567e+27  c35809ed
