# 35761 addresses changed in all 3 diffs
# values from level17.snap; addr  int32_le  float32  hex
  0x00007ff60ccbcf94          558   7.8192e-43  2e020000
* 0x00007ff60ccbcfc8    831707952   4.2741e-09  30db9231
  0x00007ff60ccbcfc9    775000795   4.0376e-11  db92312e
  0x00007ff60ccbcfca     36581778   1.2798e-37  92312e02
  0x00007ff60ccbcfcb       142897   2.0024e-40  312e0200
  0x00007ff60ccbcfcc          558   7.8192e-43  2e020000
  0x00007ff60ccbcfcd    402653186   1.6544e-24  02000018
* 0x00007ff60ccbd068    500462576   5.6236e-21  f073d41d
  0x00007ff60ccbd069    773706867   3.5886e-11  73d41d2e
  0x00007ff60ccbd06a     36576724   1.2792e-37  d41d2e02
  0x00007ff60ccbd06b       142877   2.0021e-40  1d2e0200
  0x00007ff60ccbd06c          558   7.8192e-43  2e020000
* 0x00007ff60ccbd0a0  -1493882336  -1.7012e-15  202af5a6
  0x00007ff60ccbd0a1    765916458   1.8981e-11  2af5a62d
  0x00007ff60ccbd0a2     36546293   1.2758e-37  f5a62d02
  0x00007ff60ccbd0a3       142758   2.0005e-40  a62d0200
  0x00007ff60ccbd0a4          557   7.8052e-43  2d020000
* 0x00007ff60ccbd140    451665088   9.7550e-23  c0dceb1a
  0x00007ff60ccbd141    773516252   3.5225e-11  dceb1a2e
  0x00007ff60ccbd142     36575979   1.2791e-37  eb1a2e02
  0x00007ff60ccbd143       142874   2.0021e-40  1a2e0200
  0x00007ff60ccbd144          558   7.8192e-43  2e020000
* 0x00007ff60ccbd1b0    451668624   9.7573e-23  90eaeb1a
  0x00007ff60ccbd1b1    773516266   3.5225e-11  eaeb1a2e
  0x00007ff60ccbd1b2     36575979   1.2791e-37  eb1a2e02
  0x00007ff60ccbd1b3       142874   2.0021e-40  1a2e0200
  0x00007ff60ccbd1b4          558   7.8192e-43  2e020000
* 0x00007ff60ccbd2e0    451515328   9.6605e-23  c093e91a
* 0x00007ff60ccbd2e2     36575977   1.2791e-37  e91a2e02
  0x00007ff60ccbd2e3       142874   2.0021e-40  1a2e0200
  0x00007ff60ccbd2e4          558   7.8192e-43  2e020000
* 0x00007ff60ccbd3f0    500499600   5.6385e-21  9004d51d
  0x00007ff60ccbd3f1    773707012   3.5887e-11  04d51d2e
  0x00007ff60ccbd3f2     36576725   1.2792e-37  d51d2e02
  0x00007ff60ccbd3f3       142877   2.0021e-40  1d2e0200
  0x00007ff60ccbd3f4          558   7.8192e-43  2e020000
* 0x00007ff60ccbd429    773706963   3.5887e-11  d3d41d2e
  0x00007ff60ccbd42a     36576724   1.2792e-37  d41d2e02
  0x00007ff60ccbd42b       142877   2.0021e-40  1d2e0200
  0x00007ff60ccbd42c          558   7.8192e-43  2e020000
* 0x00007ff60ccbd460   -825580384  -1.6999e+09  a0a4cace
  0x00007ff60ccbd461    768527012   2.3509e-11  a4cace2d
  0x00007ff60ccbd462     36556490   1.2769e-37  cace2d02
  0x00007ff60ccbd463       142798   2.0010e-40  ce2d0200
  0x00007ff60ccbd464          557   7.8052e-43  2d020000
* 0x00007ff60ccbd918    796841232   2.3177e-10  10d57e2f
  0x00007ff60ccbd919    774864597   3.9903e-11  d57e2f2e
  0x00007ff60ccbd91a     36581246   1.2797e-37  7e2f2e02
  0x00007ff60ccbd91b       142895   2.0024e-40  2f2e0200
  0x00007ff60ccbd91c          558   7.8192e-43  2e020000
* 0x00007ff60ccbd9b8    500503136   5.6400e-21  6012d51d
  0x00007ff60ccbd9b9    773707026   3.5887e-11  12d51d2e
  0x00007ff60ccbd9ba     36576725   1.2792e-37  d51d2e02
  0x00007ff60ccbd9bb       142877   2.0021e-40  1d2e0200
  0x00007ff60ccbd9bc          558   7.8192e-43  2e020000
* 0x00007ff60ccbda90    773806416   3.6232e-11  50591f2e
  0x00007ff60ccbda91    774774617   3.9591e-11  591f2e2e
  0x00007ff60ccbda92     36580895   1.2797e-37  1f2e2e02
  0x00007ff60ccbda93       142894   2.0024e-40  2e2e0200
  0x00007ff60ccbda94          558   7.8192e-43  2e020000
  0x00007ff60ccbda95  -1275068414  -1.1921e-07  020000b4
* 0x00007ff60ccbdac8    500497520   5.6377e-21  70fcd41d
  0x00007ff60ccbdac9    773707004   3.5887e-11  fcd41d2e
  0x00007ff60ccbdaca     36576724   1.2792e-37  d41d2e02
  0x00007ff60ccbdacb       142877   2.0021e-40  1d2e0200
  0x00007ff60ccbdacc          558   7.8192e-43  2e020000
* 0x00007ff60ccbdca8    796857872   2.3200e-10  10167f2f
  0x00007ff60ccbdca9    774864662   3.9903e-11  167f2f2e
  0x00007ff60ccbdcaa     36581247   1.2797e-37  7f2f2e02
  0x00007ff60ccbdcab       142895   2.0024e-40  2f2e0200
  0x00007ff60ccbdcac          558   7.8192e-43  2e020000
* 0x00007ff60ccbdda1    755214739   7.4841e-12  93a9032d
  0x00007ff60ccbdda2     36504489   1.2711e-37  a9032d02
  0x00007ff60ccbdda3       142595   1.9982e-40  032d0200
  0x00007ff60ccbdda4          557   7.8052e-43  2d020000
* 0x00007ff60ccbe080    500462368   5.6235e-21  2073d41d
  0x00007ff60ccbe081    773706867   3.5886e-11  73d41d2e
  0x00007ff60ccbe082     36576724   1.2792e-37  d41d2e02
  0x00007ff60ccbe083       142877   2.0021e-40  1d2e0200
  0x00007ff60ccbe084          558   7.8192e-43  2e020000
* 0x00007ff60ccbe548    126276880   2.0287e-34  10d58607
  0x00007ff60ccbe549    755467989   7.7038e-12  d586072d
  0x00007ff60ccbe54a     36505478   1.2712e-37  86072d02
  0x00007ff60ccbe54b       142599   1.9982e-40  072d0200
  0x00007ff60ccbe54c          557   7.8052e-43  2d020000
* 0x00007ff60ccbe598    705969008   1.3166e-13  703b142a
  0x00007ff60ccbe599    757732411   9.6679e-12  3b142a2d
  0x00007ff60ccbe59a     36514324   1.2722e-37  142a2d02
  0x00007ff60ccbe59b       142634   1.9987e-40  2a2d0200
  0x00007ff60ccbe59c          557   7.8052e-43  2d020000
* 0x00007ff60ccbe624           18   2.5223e-44  12000000
* 0x00007ff60ccbe634   2091741375   7.2044e+36  bf70ad7c
  0x00007ff60ccbe635   -109269648  -8.1999e+34  70ad7cf9
  0x00007ff60ccbe636    553221293   4.2265e-19  ad7cf920
  0x00007ff60ccbe637    522254716   3.4088e-20  7cf9201f
  0x00007ff60ccbe638   -669048583  -6.9986e+14  f9201fd8
  0x00007ff60ccbe639  -2116542688  -7.9391e-38  201fd881
